country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Serbia,,,,,,,,5580,5770,5150,5730,6140,6770,7150,7990,9070,10100,11000,12300,12300,12500,13500,13500,14100,14100,14200,14800,15400,16500
Seychelles,8900,9390,10300,11000,11000,10600,11300,12800,13600,13700,13900,14200,13200,13300,14300,16000,17700,18400,17600,17900,18800,21000,21800,23100,23900,24900,25600,26900,29100
Sierra Leone,720,790,630,690,650,650,690,670,660,660,700,650,800,860,890,930,970,1120,1200,1230,1200,1240,1490,1720,1760,1400,1330,1500,1490
Singapore,22400,23900,25700,28000,31500,33600,34800,38100,36300,38500,41400,40700,42000,45100,48500,52700,59100,63500,61900,59600,70800,73400,75500,78400,83600,82900,85100,89800,94700
Slovak Republic,,,,,,8690,9430,10100,10600,10600,11300,12400,13200,13400,14600,16200,18300,20500,23300,22900,24400,24900,26100,27600,28600,29000,30300,31700,33100
Slovenia,,,,,,13700,14300,15300,16000,17100,18000,18900,20100,20900,22400,23600,25400,26900,28800,27100,27500,28500,28600,29600,30600,30700,32400,35500,37500
Solomon Islands,840,940,1000,940,1020,1090,1060,1700,1700,1670,1450,1330,1260,1340,1430,1500,1630,1610,1570,1260,1340,1490,1880,2030,2080,2170,2150,2230,2320
South Africa,6190,6250,6120,6210,6410,6600,6850,7030,7020,7180,7540,7750,8110,8390,8960,9610,10300,10900,11300,11200,11500,11900,12200,12500,12700,12900,12800,13000,13300
South Korea,8260,9330,10000,10900,12000,13200,14400,15300,14400,16200,18000,19000,20700,21300,22900,24000,25700,27700,28700,28300,30400,31400,32400,32900,33700,35900,37200,38800,40100
South Sudan,,,,,,,,,,,,,,,,,,,,,,1780,1590,1760,1720,,,,
Spain,13500,14300,14700,14800,15200,16100,16700,17700,18900,19800,21400,22600,24100,24800,25900,27200,30100,31600,32300,31500,31200,31300,31500,32200,33400,34900,36700,38900,39800
Sri Lanka,2330,2480,2640,2860,3040,3230,3380,3650,3830,4020,4330,4330,4550,4900,5250,5690,6260,6830,7230,7590,8240,9060,9990,10400,11000,11500,12000,12500,13100
St. Kitts and Nevis,9970,9970,10400,11300,12000,12900,13600,14500,14300,14800,16500,17500,17900,17200,18400,20900,22200,22700,24500,23600,23100,23900,23700,25600,25900,26300,27400,27400,28500
